Name	WHO Region	Cases - cumulative total	Cases - cumulative total per 100000 population	Cases - newly reported in last 7 days	Cases - newly reported in last 7 days per 100000 population	Cases - newly reported in last 24 hours	Deaths - cumulative total	Deaths - cumulative total per 100000 population	Deaths - newly reported in last 7 days	Deaths - newly reported in last 7 days per 100000 population	Deaths - newly reported in last 24 hours	Transmission Classification
Global		134957021	1728.819501	4450234	57.00815908	646863	2918752	37.389647	75597	0.968408808	10712	
United States of America	Americas	30692226	9272.5	387764	117.15	0	554783	167.61	4244	1.28	0	Community transmission
Brazil	Americas	13373174	6291.5	463092	217.86	93317	348718	164.06	20512	9.65	3693	Community transmission
India	South-East Asia	13358805	968.03	873296	63.28	152879	169275	12.27	4652	0.34	839	Clusters of cases
France	Europe	4945238	7603.45	265444	408.13	43283	97956	150.61	2087	3.21	207	Community transmission
Russian Federation	Europe	4641390	3180.46	60496	41.45	8702	102986	70.57	2612	1.79	337	Clusters of cases
The United Kingdom	Europe	4368049	6434.39	16290	24	845	127080	187.2	254	0.37	40	Community transmission
Turkey	Europe	3798333	4503.65	353281	418.88	52676	33702	39.96	1624	1.93	248	Community transmission
Italy	Europe	3754077	6294.41	103830	174.09	17551	113923	191.01	3219	5.4	344	Clusters of cases
Spain	Europe	3336637	7049.34	28102	59.37	0	76179	160.94	189	0.4	0	Community transmission
Germany	Europe	2998268	3605.13	112882	135.73	17855	78353	94.21	1390	1.67	104	Community transmission
Poland	Europe	2574631	6782.82	136089	358.52	21733	58421	153.91	3480	9.17	245	Community transmission
Colombia	Americas	2504206	4921.51	76158	149.67	12125	65283	128.3	1506	2.96	269	Community transmission
Argentina	Americas	2497881	5526.8	124728	275.97	24130	57350	126.89	1327	2.94	228	Community transmission
Mexico	Americas	2272064	1762.21	24707	19.16	5045	207020	160.56	3166	2.46	874	Community transmission
Iran (Islamic Republic of)	Eastern Mediterranean	2049078	2439.58	128684	153.21	19666	64232	76.47	1233	1.47	193	Community transmission
Ukraine	Europe	1853249	4237.57	107540	245.9	12112	37014	84.63	2681	6.13	235	Community transmission
Peru	Americas	1628519	4939.12	60174	182.5	10655	54285	164.64	1954	5.93	307	Community transmission
Czechia	Europe	1580189	14776.49	28293	264.57	2217	27808	260.04	863	8.07	74	Community transmission
Indonesia	South-East Asia	1562868	571.38	35344	12.92	4723	42443	15.52	1201	0.44	95	Community transmission
South Africa	Africa	1557527	2626.14	6026	10.16	1285	53256	89.79	302	0.51	30	Community transmission
Netherlands	Europe	1342447	7711.85	47387	272.22	7725	16754	96.25	150	0.86	23	Community transmission
Chile	Americas	1068522	5589.61	49044	256.56	8101	24213	126.66	792	4.14	105	Community transmission
Canada	Americas	1045278	2769.52	50442	133.65	9255	23251	61.6	249	0.66	40	Community transmission
